Unit Code,Unit Title,Dept,Value,Link code,Instance
I00309,U3441FTC | BSc (Hons) Computer Science (London Campus) | Year 3 | Semester 1,LDNCOMP,0,I00309,Sem1
I00309,U3441FTC | BSc (Hons) Computer Science (London Campus) | Year 3 | Semester 1,LDNCOMP,0,I00309,Sem2
I00310,U0580PYC | BSc (Hons) Computing | Year 1 | Semester 1,COMP,0,I00310,Sem1
I00310,U0580PYC | BSc (Hons) Computing | Year 1 | Semester 1,COMP,0,I00310,Sem2
I00311,U0580PYC | BSc (Hons) Computing | Year 2 | Semester 1,COMP,0,I00311,Sem1
I00311,U0580PYC | BSc (Hons) Computing | Year 2 | Semester 1,COMP,0,I00311,Sem2
I00312,U0580PYC | BSc (Hons) Computing | Year 3 | Semester 1,COMP,0,I00312,Sem1
I00312,U0580PYC | BSc (Hons) Computing | Year 3 | Semester 1,COMP,0,I00312,Sem2
I00313,U1898FTD | BSc (Hons) Computing and Information Systems (Distance Learning) (Top,COMP,0,I00313,Sem1
I00313,U1898FTD | BSc (Hons) Computing and Information Systems (Distance Learning) (Top,COMP,0,I00313,Sem2
I00314,U3460PYC | BSc (Hons) Construction Management | Year 1 | Semester 1,SCES,0,I00314,Sem1
I00314,U3460PYC | BSc (Hons) Construction Management | Year 1 | Semester 1,SCES,0,I00314,Sem2
I00315,U3460PYC | BSc (Hons) Construction Management | Year 2 | Semester 1,SCES,0,I00315,Sem1
I00315,U3460PYC | BSc (Hons) Construction Management | Year 2 | Semester 1,SCES,0,I00315,Sem2
I00316,U3460PYC | BSc (Hons) Construction Management | Year 3 | Semester 1,SCES,0,I00316,Sem1
I00316,U3460PYC | BSc (Hons) Construction Management | Year 3 | Semester 1,SCES,0,I00316,Sem2
I00317,U3475PDC | BSc (Hons) Construction Management (Top Up) (Degree Apprenticeship) |,SCES,0,I00317,Sem1
I00317,U3475PDC | BSc (Hons) Construction Management (Top Up) (Degree Apprenticeship) |,SCES,0,I00317,Sem2
I00318,U3475PDC | BSc (Hons) Construction Management (Top Up) (Degree Apprenticeship) |,SCES,0,I00318,Sem1
I00318,U3475PDC | BSc (Hons) Construction Management (Top Up) (Degree Apprenticeship) |,SCES,0,I00318,Sem2
I00319,U3475PDC | BSc (Hons) Construction Management (Top Up) (Degree Apprenticeship) |,SCES,0,I00319,Sem1
I00319,U3475PDC | BSc (Hons) Construction Management (Top Up) (Degree Apprenticeship) |,SCES,0,I00319,Sem2
I00320,U3248PYC | BSc (Hons) Counter Terrorism Intelligence and Cybercrime (Dual Degree,SCCJ,0,I00320,Sem1
I00320,U3248PYC | BSc (Hons) Counter Terrorism Intelligence and Cybercrime (Dual Degree,SCCJ,0,I00320,Sem2
I00321,U3071PYC | BSc (Hons) Creative Computing with Foundation Year | Year 1 | Semeste,CTS,0,I00321,Sem1
I00321,U3071PYC | BSc (Hons) Creative Computing with Foundation Year | Year 1 | Semeste,CTS,0,I00321,Sem2
I00322,U3071PYC | BSc (Hons) Creative Computing with Foundation Year | Year 2 | Semeste,CTS,0,I00322,Sem1
I00322,U3071PYC | BSc (Hons) Creative Computing with Foundation Year | Year 2 | Semeste,CTS,0,I00322,Sem2
I00323,U3071PYC | BSc (Hons) Creative Computing with Foundation Year | Year 3 | Semeste,CTS,0,I00323,Sem1
I00323,U3071PYC | BSc (Hons) Creative Computing with Foundation Year | Year 3 | Semeste,CTS,0,I00323,Sem2
I00324,U3071PYC | BSc (Hons) Creative Computing with Foundation Year | Year 4 | Semeste,CTS,0,I00324,Sem1
I00324,U3071PYC | BSc (Hons) Creative Computing with Foundation Year | Year 4 | Semeste,CTS,0,I00324,Sem2
I00324,N3153FTC | BSc (Hons) Global Sport Management | Year 1 | Semester 2,SHES,0,I00324,Sem1
I00324,N3153FTC | BSc (Hons) Global Sport Management | Year 1 | Semester 2,SHES,0,I00324,Sem2
I00325,U2734PYC | BSc (Hons) Creative Media Technologies | Year 1 | Semester 1,CTS,0,I00325,Sem1
I00325,U2734PYC | BSc (Hons) Creative Media Technologies | Year 1 | Semester 1,CTS,0,I00325,Sem2
I00326,U2734PYC | BSc (Hons) Creative Media Technologies | Year 2 | Semester 1,CTS,0,I00326,Sem1
I00326,U2734PYC | BSc (Hons) Creative Media Technologies | Year 2 | Semester 1,CTS,0,I00326,Sem2
